workout_name,rating_number,rating_name,workout_type,workout_muscle,workout_equipment,workout_level,workout_img_1,workout_img_2,muscle_group_img,instructions
One-Arm Dumbbell Row,9,Excellent,Strength,Middle Back,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/13/Male/m/13_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/13/Male/m/13_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.)  Choose a flat bench and place a dumbbell on each side of it.

2.)  Place the right leg on top of the end of the bench, bend your torso forward from the waist until your upper body is parallel to the floor, and place your right hand on the other end of the bench for support.

3.)  Use the left hand to pick up the dumbbell on the floor and hold the weight while keeping your lower back straight.  The palm of the hand should be facing your torso.  This will be your starting position.

4.)  Pull the resistance straight up to the side of your chest, keeping your upper arm close to your side and keeping the torso stationary. Breathe out as you perform this step.  Tip: Concentrate on squeezing the back muscles once you reach the full contracted position.  Also, make sure that the force is performed with the back muscles and not the arms. Finally, the upper torso should remain stationary and only the arms should move.  The forearms should do no other work except for holding the dumbbell; therefore do not try to pull the dumbbell up using the forearms.

5.)  Lower the resistance straight down to the starting position. Breathe in as you perform this step.

6.)  Repeat the movement for the specified amount of repetitions.

7.)  Switch sides and repeat again with the other arm.

"
Bent Over One-Arm Long Bar Row,8.9,Excellent,Strength,Middle Back,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/19/Male/m/19_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/19/Male/m/19_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward.

2.) Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent.

3.) Now grab the bar with one arm just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position.

4.) Pull the bar straight up with your elbow in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement.  Breathe out as you lift the weight. Tip: Do not allow for any swinging of the torso.  Only the arm should move.

5.) Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor.  To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones).

6.) Repeat for the recommended amount of repetitions and switch arms.

"
T-Bar Row,8.9,Excellent,Strength,Middle Back,Barbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3381/Male/m/3381_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3381/Male/m/3381_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.)   Load the bar to an appropriate weight for your training. Stand astride the bar and bend at the hips to take a pronated grip on the handles.

2.)  Ensure that your back remains flat, and then remove the weight from the rests, letting the bar hang at arms length. This will be your starting position.

3.)  Perform the movement by flexing the elbows and retracting the shoulder blades, pulling the weight to your chest.

4.)  After a brief pause at the top of the motion, return to the starting position.

"
Bent Over Two-Arm Long Bar Row,8.9,Excellent,Strength,Middle Back,Barbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object  on the ground so the barbell cannot slide backward.

2.) Bend forward until your torso is as close to parallel with the floor as you can and keep your knees slightly bent.

3.) Now grab the bar with both arms just behind the plates on the side where the weight was placed and put your other hand on your knee. This will be your starting position.

4.) Pull the bar straight up with your elbows in (to maximize back stimulation) until the plates touch your lower chest. Squeeze the back muscles as you lift the weight up and hold for a second at the top of the movement.  Breathe out as you lift the weight. Tip: Use a stirrup or double handle cable attachment by hooking it under the end of the bar.  

5.) Slowly lower the bar to the starting position getting a nice stretch on the lats. Tip: Do not let the plates touch the floor.  To ensure the best range of motion, I recommend using small plates (25-lb ones) as opposed to larger plates (like 35-45lb ones).

6.) Repeat for the recommended amount of repetitions.

"
Dumbbell Incline Row,8.8,Excellent,Strength,Middle Back,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1311/Male/m/1311_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1311/Male/m/1311_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) Using a neutral grip, lean into an incline bench.

2.)  Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position.

3.)  Retract the shoulder blades and flex the elbows to row the dumbbells to your side.

4.)  Pause at the top of the motion, and then return to the starting position.

"
Bodyweight Mid Row,8.8,Excellent,Strength,Middle Back,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1911/Male/m/1911_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1911/Male/m/1911_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) Begin by taking a medium to wide grip on a pull-up apparatus with your palms facing away from you. From a hanging position, tuck your knees to your chest, leaning back and getting your legs over your side of the pull-up apparatus. This will be your starting position.

2.) Beginning with your arms straight, flex the elbows and retract the shoulder blades to raise your body up until your legs contact the pull-up apparatus. 

3.) After a brief pause, return to the starting position. 

"
Bent Over Two-Dumbbell Row With Palms In,8.8,Excellent,Strength,Middle Back,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) With a dumbbell in each hand (palms facing each other), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor.  Tip: Make sure that you keep the head up.  The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso.  This is your starting position.

2.) While keeping the torso stationary, lift the dumbbells to your side as you breathe out, squeezing your shoulder blades together.  On the top contracted position, squeeze the back muscles and hold for a second.

3.) Slowly lower the weight again to the starting position as you inhale.

4.) Repeat for the recommended amount of repetitions.

"
Seated Cable Rows,8.8,Excellent,Strength,Middle Back,Cable,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/45/Male/m/45_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/45/Male/m/45_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.)  For this exercise you will need access to a low pulley row machine with a V-bar.  Note:  The V-bar will enable you to have a neutral grip where the palms of your hands face each other.  To get into the starting position, first sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked.

2.)  Lean over as you keep the natural alignment of your back and grab the V-bar handles.

3.)  With your arms extended pull back until your torso is at a 90-degree angle from your legs.  Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lats as you hold the bar in front of you.  This is the starting position of the exercise.

4.)  Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it until you touch the abdominals.  Breathe out as you perform that movement.  At that point you should be squeezing your back muscles hard.  Hold that contraction for a second and slowly go back to the original position while breathing in.

5.)  Repeat for the recommended amount of repetitions.

"
Bent Over Barbell Row,8.7,Excellent,Strength,Middle Back,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/20/Male/m/20_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/20/Male/m/20_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor.  Tip: Make sure that you keep the head up.  The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso.  This is your starting position.

2.) Now, while keeping the torso stationary, breathe out and lift the barbell to you.  Keep the elbows close to the body and only use the forearms to hold the weight.  At the top contracted position, squeeze the back muscles and hold for a brief pause.

3.) Then inhale and slowly lower the barbell back to the starting position.

4.) Repeat for the recommended amount of repetitions.

"
Alternating Renegade Row,8.5,Excellent,Strength,Middle Back,Kettlebells,Expert,https://www.bodybuilding.com/exercises/exerciseImages/sequences/506/Male/m/506_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/506/Male/m/506_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.) Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support.

2.)  Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side.

3.)  Then lower the kettlebell to the floor and begin  the kettlebell in the opposite hand. Repeat for several reps. 

"
Seated One-arm Cable Pulley Rows,8.5,Excellent,Strength,Middle Back,Cable,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/297/Male/m/297_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/297/Male/m/297_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.)  To get into the starting position, first sit down on the machine and place your feet on the front platform or crossbar provided making sure that your knees are slightly bent and not locked.

2.)  Lean over as you keep the natural alignment of your back and grab the single handle attachment with your left arm using a palms-down grip.

3.)  With your arm extended pull back until your torso is at a 90-degree angle from your legs.  Your back should be slightly arched and your chest should be sticking out. You should be feeling a nice stretch on your lat as you hold the bar in front of you.  The right arm can be kept by the waist. This is the starting position of the exercise.

4.)  Keeping the torso stationary, pull the handles back towards your torso while keeping the arms close to it as you rotate the wrist, so that by the time your hand is by your abdominals it is in a neutral position (palms facing the torso). Breathe out as you perform that movement.  At that point you should be squeezing your back muscles hard.

5.)  Hold that contraction for a second and slowly go back to the original position while breathing in.  Tip: Remember to rotate the wrist as you go back to the starting position so that the palms are facing down again.

6.)  Repeat for the recommended amount of repetitions and then perform the same movement with the right hand.

"
Man Maker,8.4,Excellent,Strength,Middle Back,Dumbbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4171/Male/m/4171_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4171/Male/m/4171_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif,"1.)   Position a pair of light-weight dumbbells in front of you, parallel to each other. Keeping your back flat, bend forward and squat down, grasping the dumbbells. This is your start position.

2.)  Initiate the movement by kicking one leg back, then the other so that you’re in the push-up position, holding onto the dumbbells. Your weight should be on your toes and hands. Do a one-arm row for each side, bringing your elbow up as high as you can.

3.)  Hop your feet forward and rise up by cleaning the weights, bringing them up to shoulder level, palms facing forward as you hop a second time. Descend into a squat and explosively rise up, then press the weights overhead to full arm extension.

4.)  Lower the dumbbells back to your shoulders, then bend over as you squat down to return the weights back to the floor in front of you. Repeat for reps.

"
Hyperextensions (Back Extensions),9.1,Excellent,Strength,Lower Back,Other,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/47/Male/m/47_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/47/Male/m/47_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)  Lie face down on a hyperextension bench, tucking your ankles securely under the footpads.

2.)  Adjust the upper pad if possible so your upper thighs lie flat across the wide pad, leaving enough room for you to bend at the waist without any restriction.

3.)  With your body straight, cross your arms in front of you (my preference) or behind your head. This will be your starting position.  Tip: You can also hold a weight plate for extra resistance in front of you under your crossed arms.

4.)  Start bending forward slowly at the waist as far as you can while keeping your back flat.  Inhale as you perform this movement.  Keep moving forward until you feel a nice stretch on the hamstrings and you can no longer keep going without a rounding of the back.  Tip: Never round the back as you perform this exercise.  Also, some people can go farther than others.  The key thing is that you go as far as your body allows you to without rounding the back.

5.)  Slowly raise your torso back to the initial position as you inhale.  Tip: Avoid the temptation to arch your back past a straight line.  Also, do not swing the torso at any time in order to protect the back from injury.

6.)  Repeat for the recommended amount of repetitions.

"
Hyperextensions With No Hyperextension Bench,8.8,Excellent,Strength,Lower Back,Body Only,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/24/Male/m/24_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/24/Male/m/24_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)  With someone holding down your legs, slide yourself down to the edge a flat bench until your hips hang off the end of the bench. Tip: Your entire upper body should be hanging down towards the floor.   Also, you will be in the same position as if you were on a hyperextension bench but the range of motion will be shorter due to the height of the flat bench vs. that of the hyperextension bench.

2.)  With your body straight, cross your arms in front of you (my preference) or behind your head. This will be your starting position.  Tip: You can also hold a weight plate for extra resistance in front of you under your crossed arms.

3.)  Start bending forward slowly at the waist as far as you can while keeping your back flat.  Inhale as you perform this movement.  Keep moving forward until you almost touch the floor or you feel a nice stretch on the hamstrings (whichever comes first). Tip: Never round the back as you perform this exercise.

4.)  Slowly raise your torso back to the initial position as you exhale.  Tip: Avoid the temptation to arch your back past a straight line.  Also, do not swing the torso at any time in order to protect the back from injury.

5.)  Repeat for the recommended amount of repetitions.

"
Weighted Ball Hyperextension,8.3,Excellent,Strength,Lower Back,Exercise Ball,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/332/Male/m/332_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/332/Male/m/332_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)  To begin, lie down on an exercise ball with your torso pressing against the ball and parallel to the floor.  The ball of your feet should be pressed against the floor to help keep you balanced.  Place a weighted plate under your chin or behind your neck.  This is the starting position.

2.)  Slowly raise your torso up by bending at the waist and lower back.  Remember to exhale during this movement.

3.)  Hold the contraction on your lower back for a second and lower your torso back down to the starting position while inhaling.

4.)  Repeat for the recommended amount of repetitions prescribed in your program.

"
Seated Back Extension,8.2,Excellent,Strength,Lower Back,Machine,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3401/Male/m/3401_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3401/Male/m/3401_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)   Adjust the machine and select an appropriate load.

2.)  Seat yourself with your upper back against the roller and grasp the handles with your feet planted firmly on the footrest. Your head should remain looking forward and your chest should be up. This will be your starting position.

3.)  Initiate the movement by extending at the hips and lumbar spine to straighten your body, pushing the roller to the rear.

4.)  At the top of the motion pause, and then return to the starting position.

"
Stiff Leg Barbell Good Morning,8.1,Excellent,Strength,Lower Back,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/86/Male/m/86_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/86/Male/m/86_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)   This exercise is best performed inside a squat rack for safety purposes.  To begin, first set the bar on a rack that best matches your height.  Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.

2.)   Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.

3.)   Step away from the rack and position your legs using a shoulder width medium stance.  Keep your head up at all times as looking down will get you off balance and also maintain a straight back.  This will be your starting position.

4.)   Keeping your legs stationary, move your torso forward by bending at the hips while inhaling.  Lower your torso until it is parallel with the floor.

5.)   Begin to raise the bar as you exhale by elevating your torso back to the starting position.

6.)   Repeat for the recommended amount of repetitions.

"
Partner Supermans With Alternating High-Five,n/a,Not Yet Rated,Strength,Lower Back,Body Only,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3501/Male/m/3501_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3501/Male/m/3501_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)   Lie facedown on the floor about a 2 feet from your partner, shoulders and elbows bent about 90 degrees, feet about hip-width apart. Your bodies should mirror each other’s. This will be your starting position.

2.)  Contracting your lower back, glutes, and hamstrings, simultaneously raise your feet and upper torso off the floor, crossing one hand over to tap your partner's hand.

3.)  Lower back down to the starting position using control so all limbs touch the floor and repeat to the opposite side. Make sure to keep your head neutral so that it’s aligned with your torso throughout the set.

"
Partner Flat-Bench Back Extension,n/a,Not Yet Rated,Strength,Lower Back,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3631/Male/m/3631_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3631/Male/m/3631_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)   Lie prone on a flat bench with your shoulders and head off the bench. Your midsection and legs should be supported and your partner should firmly press down on your upper hamstrings to keep you in position on the bench.

2.)  Once secured, lift your hand off the floor and cross them over your chest. This will be your starting position.

3.)  Contract your lower back to rise off the bench as high as you can, then slowly release and extend down as far as the range of motion will allow. 

"
Partner Flat-Bench Back Extension With Hold,n/a,Not Yet Rated,Strength,Lower Back,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3641/Male/m/3641_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3641/Male/m/3641_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif,"1.)   Lie prone on a flat bench with your shoulders and head off the bench. Your midsection and legs should be supported and your partner should firmly press down on your upper hamstrings to keep you in position on the bench.

2.)  Once secured, lift your hand off the floor and cross them over your chest. This will be your starting position.

3.)  Contract your lower back to rise off the bench as high as you can, hold for 5 seconds, then slowly release and extend down as far as the range of motion will allow. 

"
Lying Face Down Plate Neck Resistance,9.3,Excellent,Strength,Neck,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/m/25_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/m/25_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-6.gif,"1.)  Lie face down with your whole body straight on a flat bench while holding a weight plate behind your head.  Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the upper chest, neck and face to be off the bench.  This will be your starting position.

2.)  While keeping the plate secure on the back of your head slowly lower your head (as in saying yes) as you breathe in.

3.)  Raise your head back up to the starting position in a semi-circular motion as you breathe out.  Hold the contraction for a second.

4.)  Repeat for the recommended amount of repetitions.

"
Lying Face Up Plate Neck Resistance,8.4,Excellent,Strength,Neck,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/26/Male/m/26_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/26/Male/m/26_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-6.gif,"1.)  Lie face up with your whole body straight on a flat bench while holding a weight plate on top of your forehead.  Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the traps, neck and head to be off the bench.  This will be your starting position.

2.)  While keeping the plate secure on your forehead slowly lower your head back in a semi-circular motion as you breathe in.

3.)  Raise your head back up to the starting position in a semi-circular motion as you breathe out.  Hold the contraction for a second.

4.)  Repeat for the recommended amount of repetitions.

"
Seated Head Harness Neck Resistance,7.6,Good,Strength,Neck,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/29/Male/m/29_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/29/Male/m/29_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-6.gif,"1.)   Place a neck strap on the floor at the end of a flat bench.  Once you have selected the weights, sit at the end of the flat bench with your feet wider than shoulder width apart from each other.  Your toes should be pointed out.

2.)  Slowly move your torso forward until it is almost parallel with the floor.  Using both hands, securely position the neck strap around your head.  Tip:  Make sure the weights are still lying on the floor to prevent any strain on the neck.  Now grab the weight with both hands while elevating your torso back until it is almost perpendicular to the floor.  Note: Your head and torso needs to be slightly tilted forward to perform this exercise.

3.)  Now place both hands on top of your knees.  This is the starting position.

4.)  Slowly lower your neck down until your chin touches the upper part of your chest while breathing in.

5.)  While exhaling, bring your neck back to the starting position.

6.)  Repeat for the recommended amount of repetitions.

"
Isometric Neck Exercise - Sides,7.4,Good,Strength,Neck,Body Only,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/28/Male/m/28_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/28/Male/m/28_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-6.gif,"1.)  With your head and neck in a neutral position (normal position with head erect facing forward), place your left hand on the left side of your head.

2.)  Now gently push towards the left as you contract the left neck muscles but resisting any movement of your head.  Start with slow tension and increase slowly.  Keep breathing normally as you execute this contraction.

3.)  Hold for the recommended number of seconds.

4.)  Now release the tension slowly.

5.)  Rest for the recommended amount of time and repeat with your right hand placed on the right side of your head.

"
Isometric Neck Exercise - Front And Back,6.4,Good,Strength,Neck,Body Only,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/27/Male/m/27_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/27/Male/m/27_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-6.gif,"1.)  With your head and neck in a neutral position (normal position with head erect facing forward), place both of your hands on the front side of your head.

2.)  Now gently push forward as you contract the neck muscles but resisting any movement of your head.  Start with slow tension and increase slowly.  Keep breathing normally as you execute this contraction.

3.)  Hold for the recommended number of seconds.

4.)  Now release the tension slowly.

5.)  Rest for the recommended amount of time and repeat with your hands placed on the back side of your head.

"
Neck Bridge Prone,5.7,Good,Strength,Neck,Body Only,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3451/Male/m/3451_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3451/Male/m/3451_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-6.gif,"1.)   Begin in a prone position on the floor, on your hands and knees.

2.)  Place your head next to your hands but a few inches nearer your legs, then extend your legs, driving your hips into the air.

3.)  Transition into supporting your weight on your head by removing your hands from the ground. Perform this movement slowly, backing off if any serious discomfort is felt and avoiding it if you have any pre-existing neck injury.

4.)  Hold the neck bridge for a period of time, and then carefully return your hands and knees to the floor.

"
Single-Leg Press,9.6,Excellent,Strength,Quadriceps,Machine,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3941/Male/m/3941_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3941/Male/m/3941_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-7.gif,"1.)   Load the sled to an appropriate weight. Seat yourself on the machine, planting one foot on the platform in line with your hip. Your free foot can be placed on the ground. Maintain good spinal position with your head and chest up. 

2.)  Supporting the weight, fully extend the knee and unlock the sled. This will be your starting position. 

3.)  Lower the weight by flexing the hip and knee, continuing as far as flexibility allows. Do not allow your lumbar to take the load by moving your pelvis. 

4.)  At the bottom of the motion pause briefly and then return to the starting position by extending the hip and knee. 

5.)  Complete all repetitions for one leg before switching to the other. 

"
Barbell Full Squat,9.4,Excellent,Strength,Quadriceps,Barbell,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/64/Male/m/64_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/64/Male/m/64_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-7.gif,"1.)  This exercise is best performed inside a squat rack for safety purposes.  To begin, first set the bar on a rack just above shoulder level.  Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.

2.)  Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.

3.)  Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out.  Keep your head up at all times and maintain a straight back.  This will be your starting position.

4.)  Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up.  Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.

5.)  Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.

6.)  Repeat for the recommended amount of repetitions.

"
Front Squats With Two Kettlebells,9.2,Excellent,Strength,Quadriceps,Kettlebells,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-7.gif,"1.) Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. 

2.)   Looking straight ahead at all times, squat as low as you can and pause at the bottom. As you squat down, push your knees out. You should squat between your legs, keeping an upright torso, with your head and chest up. 

3.) Rise back up by driving through your heels and repeat.

"
Barbell Walking Lunge,9.2,Excellent,Strength,Quadriceps,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2241/Male/m/2241_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2241/Male/m/2241_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-7.gif,"1.) Begin standing with your feet shoulder width apart and a barbell across your upper back. 

2.) Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot. 

3.) Drive through the heel of your lead foot and extend both knees to raise yourself back up.

4.)  Step forward with your rear foot, repeating the lunge on the opposite leg. 

"
Kettlebell Pistol Squat,9.1,Excellent,Strength,Quadriceps,Kettlebells,Expert,https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-7.gif,"1.) Pick up a kettlebell with two hands and hold it by the horns. Hold one leg off of the floor and squat down on the other.

2.)   Squat down by flexing the knee and sitting back with the hips, holding the kettlebell up in front of you. 

3.)  Hold the bottom position for a second and then reverse the motion, driving through the heel and keeping your head and chest up.

4.)  Lower yourself again and repeat. 

"
